genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['new orleans jazz'],0.807,0.349,0.962,107.182,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.686,0.269,0.831,143.918,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.593,0.191,0.318,83.735,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.805,0.311,0.697,117.439,2,0.0,,Happy / Dance
['new orleans jazz'],0.581,0.191,0.317,83.488,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.807,0.349,0.962,107.182,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.709,0.52,0.961,101.64,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.543,0.35,0.747,201.651,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.626,0.227,0.494,126.859,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.628,0.267,0.839,157.093,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.664,0.175,0.539,121.919,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.613,0.114,0.629,163.646,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.796,0.344,0.889,94.343,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.54,0.254,0.473,183.916,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.554,0.286,0.721,175.793,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.717,0.207,0.47,84.605,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.69,0.408,0.876,102.519,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.728,0.355,0.919,99.269,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.73,0.277,0.746,155.128,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.596,0.258,0.57,168.699,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.625,0.366,0.939,94.231,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.634,0.335,0.774,101.381,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.591,0.149,0.703,160.728,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.552,0.354,0.904,201.978,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.748,0.325,0.887,95.987,0,0.0,,Instrumental / Acoustic
